"HDI Rank","Country","1990","1995","2000","2005","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","12.1","16.8","19.7","24.4","28.0","28.8","29.7","30.7","31.6","32.5"
"75"," Albania","3.3","3.1","3.1","3.1","2.9","2.9","2.9","2.9","2.9","2.9"
"83"," Algeria","25.9","28.9","31.2","33.3","36.0","36.7","37.4","38.2","38.9","39.7"
"32"," Andorra","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"150"," Angola","11.1","13.0","15.1","17.9","21.2","21.9","22.7","23.4","24.2","25.0"
"62"," Antigua and Barbuda","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"45"," Argentina","32.7","35.0","37.1","39.1","41.2","41.7","42.1","42.5","43.0","43.4"
"84"," Armenia","3.5","3.2","3.1","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"2"," Australia","17.1 k","18.1 k","19.1 k","20.3 k","22.2 k","22.5 k","22.9 k","23.3 k","23.6 k","24.0 k"
"24"," Austria","7.7","8.0","8.1","8.2","8.4","8.4","8.5","8.5","8.5","8.5"
"78"," Azerbaijan","7.2 u","7.8 u","8.1 u","8.6 u","9.1 u","9.2 u","9.4 u","9.5 u","9.6 u","9.8 u"
"58"," Bahamas","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4"
"47"," Bahrain","0.5","0.6","0.7","0.9","1.3","1.3","1.3","1.3","1.4","1.4"
"139"," Bangladesh","106.0","118.4","131.3","142.9","151.6","153.4","155.3","157.2","159.1","161.0"
"54"," Barbados","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"52"," Belarus","10.2","10.2","10.0","9.6","9.5","9.5","9.5","9.5","9.5","9.5"
"22"," Belgium","10.0","10.2","10.3","10.6","10.9","11.0","11.1","11.2","11.2","11.3"
"103"," Belize","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.4"
"167"," Benin","5.0","6.0","6.9","8.2","9.5","9.8","10.1","10.3","10.6","10.9"
